year,ID,recruit,Count of Year,sum_n of eggs,mean_n of eggs,SD_ n of eggs,mean_length,SD_length,mean_width,SD_width,mass,energy
1993,1993G103,First time,4,456,114,17.49286,97.5,1.080123,80,1.649916,103.224,111942.3
1993,1993G104,First time,1,105,105,,96,,80,,99.5964,103104.75
1993,1993G105,First time,3,303,101,12.12436,99.33333,1.154701,80,1.258306,107.6577253,99176.95
1993,1993G106,First time,1,131,131,,98,,80,,104.4332,128635.45
1993,1993G107,First time,4,443,110.75,28.01636,99.83333,1.312335,80,1.649916,108.8669253,108750.9625
1993,1993G108,First time,2,197,98.5,14.84924,95,0,80,0.070711,97.178,96722.075
1993,1993G109,First time,2,179,89.5,14.84924,89,0,80,0,82.6676,87884.525
1993,1993G110,First time,2,201,100.5,7.778175,93.5,0.707107,80,0.707107,93.5504,98685.975
1993,1993G111,First time,2,221,110.5,0.707107,100.5,0,80,0,110.4792,108505.475
1993,1993G112,First time,2,277,138.5,9.192388,108.5,0.707107,80,1.06066,129.8264,136000.075
1993,1993G113,First time,4,246,82,11.53256,104.375,0.478714,80,0.853913,119.8505,80519.9
1993,1993G114,First time,1,109,109,,99,,80,,106.8516,107032.55
1993,1993G115,First time,2,155,77.5,3.535534,94.25,1.06066,80,0.565685,95.3642,76101.125
1993,1993G116,First time,5,590,118,18.42553,99.33333,0.816497,80,1.779513,107.6577253,115870.1
1993,1993G117,First time,5,568,113.6,8.080842,103.5,0.353553,80,0.353553,117.7344,111549.52
1993,1993G118,First time,2,188,94,14.14214,96,0,80,0,99.5964,92303.3
1993,1993G119,First time,1,100,100,,104,,80,,118.9436,98195
1993,1993G120,First time,1,119,119,,93,,80,,92.3412,116852.05
1993,1993G121,First time,1,64,64,,90,,80,,85.086,62844.8
1993,1993G124,First time,1,53,53,,101,,80,,111.6884,52043.35
1993,1993G125,First time,3,319,106.3333,8.386497,105.6667,1.527525,80,1.322876,122.9743473,104413.9839
1993,1993G126,First time,5,651,130.2,9.20326,106,0,80,0,123.7804,127849.89
1993,1993G135,First time,2,209,104.5,20.5061,107,0,80,0,126.1988,102613.775
1993,1993G136,First time,4,362,90.5,32.46023,102.5,0.408248,80,0.408248,115.316,88866.475
1993,1993G138,First time,3,175,87.5,2.12132,106,1,80,0.5,123.7804,85920.625
1993,1993G139,First time,1,73,73,,89.5,,80,,83.8768,71682.35
1994,1994G001,First time,5,344,86,15.25341,105.2,1.30384,80,0.894427,121.84568,84447.7
1994,1994G002,First time,6,446,89.2,10.89495,97.5,0.83666,80,0.752773,103.224,87589.94
1994,1994G003,First time,2,94,47,9.899495,94,0,80,1.414214,94.7596,46151.65
1994,1994G004,First time,6,709,118.1667,21.81208,105.6667,0.516398,80,0.894427,122.9743473,116033.7911
1994,1994G005,First time,3,271,90.33333,16.04161,100,1,80,1.527525,109.27,88702.81339
1994,1994G006,First time,7,691,98.71429,16.04903,102.5714,1.133893,80,1.272418,115.4886738,96932.49707
1994,1994G007,First time,3,278,92.66667,23.79776,103.6667,0.57735,80,1.527525,118.1375473,90994.03661
1994,1994G008,First time,1,87,87,,96,,80,,99.5964,85429.65
1994,1994G009,First time,3,417,139,20.07486,104.6667,1.154701,80,1,120.5559473,136491.05
1994,1994G010,First time,3,280,93.33333,16.86219,110.6667,0.57735,80,1.527525,135.0663473,91648.66339
1994,1994G011,First time,5,427,85.4,12.1573,107.8,0.83666,80,1.81659,128.13352,83858.53
1994,1994G012,First time,1,76,76,,90,,80,,85.086,74628.2
1994,1994G013,First time,6,444,74,14,98.83333,1.602082,80,1.36626,106.4485253,72664.3
1994,1994G014,First time,2,190,95,2.828427,97,0,80,0.707107,102.0148,93285.25
1994,1994G016,First time,3,195,97.5,30.40559,107.6667,0.57735,80,1.527525,127.8111473,95740.125
1994,1994G017,First time,4,389,97.25,10.99621,98.5,1.290994,80,1.258306,105.6424,95494.6375
1994,1994G018,First time,4,321,107,16.52271,99.75,0.5,80,1.154701,108.6654,105068.65
1994,1994G019,First time,2,94,47,0,90.5,0.707107,80,0.707107,86.2952,46151.65
1994,1994G021,First time,3,268,89.33333,3.511885,96.33333,1.527525,80,0.57735,100.4025253,87720.86339
1994,1994G022,First time,4,320,106.6667,11.84624,103.5,1,80,0.957427,117.7344,104741.3661
1994,1994G023,First time,7,485,69.28571,19.89736,94.28571,1.253566,80,2,95.45056106,68035.10293
1994,1994G024,First time,5,459,91.8,13.06522,99.2,1.923538,80,1.341641,107.33528,90143.01
1994,1994G025,First time,5,495,99,8.42615,94.4,1.341641,80,1.516575,95.72696,97213.05
1994,1994G026,First time,3,253,84.33333,25.8908,94.33333,0.57735,80,0.57735,95.56572527,82811.11339
1994,1994G027,First time,4,377,94.25,19.98958,106,0.816497,80,1.290994,123.7804,92548.7875
1994,1994G028,First time,6,528,88,15.82403,98.5,1.224745,80,1.095445,105.6424,86411.6
1994,1994G029,First time,5,306,76.5,7.325754,95.6,1.140175,80,1.48324,98.62904,75119.175
1994,1994G030,First time,1,109,109,,101,,80,,111.6884,107032.55
1994,1994G032,First time,5,534,106.8,13.95349,103.4,0.894427,80,2.073644,117.49256,104872.26
1994,1994G033,First time,4,343,85.75,10.99621,92.25,0.957427,80,1.5,90.5274,84202.2125
1994,1994G034,First time,6,564,94,7.797435,94.5,1.224745,80,0.752773,95.9688,92303.3
1994,1994G035,First time,1,101,101,,95,,80,,97.178,99176.95
